idno	author-country	author-name	author-gender	title	year	narrator	protagonist-gender	protagonist-social-level	protagonist-social-level-nr	time-span	type-end	type-end-nr	canon-proxy	size_words	size_chars	decade
ne0001	Spain	Baroja	male	Mayorazgo	1903	third-person	male	high	1	365	positive	1	2	51032	294083	1900
ne0002	Spain	Galdos	male	Misericordia	1889	third-person	female	low	-1	90	negative	-1	6	83782	476876	1880
ne0003	Spain	Galdos	male	Nazarin	1895	third-person	male	low	-1	90	positive	1	2	64723	366700	1890
ne0004	Spain	Galdos	male	Halma	1895	third-person	mixed	high	1	365	positive	1	1	73342	424834	1890
ne0005	Spain	Galdos	male	Tristana	1892	third-person	female	low	-1	1800	positive	1	2	52555	300788	1890
ne0006	Spain	Galdos	male	Angel	1891	third-person	male	medium	0	1825	negative	-1	4	248557	1417970	1890
ne0007	Spain	Sawa	male	MujerMundo	1885	third-person	female	high	1	365	negative	-1	0.5	38216	222829	1880
ne0009	Spain	Galdos	male	Desheredada	1881	third-person	female	low	-1	1825	negative	-1	5	140866	820077	1880
ne0011	Spain	Galdos	male	Manso	1882	first-person	male	medium	0	730	negative	-1	3	90403	520990	1880
ne0013	Spain	Valle	male	SonataOtono	1902	first-person	male	high	1	3	negative	-1	4	20865	122137	1900
ne0014	Spain	Valle	male	SonataEstio	1903	first-person	male	high	1	7	negative	-1	3	22401	133083	1900
ne0016	Spain	Valle	male	SonataPrimavera	1904	first-person	male	high	1	7	negative	-1	4	18706	111070	1900
ne0017	Spain	Valle	male	FlordeSantidad	1904	third-person	female	low	-1	30	negative	-1	3	19377	113299	1900
ne0018	Spain	Valle	male	SonataInvierno	1905	first-person	male	high	1	15	negative	-1	3	24108	141202	1900
ne0019	Spain	BlascoIbanez	male	Bodega	1905	third-person	male	low	-1	150	negative	-1	1	100190	586127	1900
ne0020	Spain	Valle	male	CruzadosCausa	1908	third-person	male	high	1	15	negative	-1	1	21992	127345	1900
ne0021	Spain	Valle	male	ResplandorHoguera	1909	third-person	male	medium	0	15	negative	-1	1	25328	145900	1900
ne0022	Spain	Valle	male	GerifaltesAntano	1909	third-person	male	medium	0	15	positive	1	1	24650	142316	1900
ne0024	Spain	Galdos	male	Centeno	1883	third-person	male	low	-1	1095	negative	-1	3	113457	656469	1880
ne0027	Spain	Galdos	male	Bringas	1884	third-person	female	medium	0	365	negative	-1	2	71557	413869	1880
ne0028	Spain	Galdos	male	Tormento	1884	third-person	female	low	-1	365	positive	1	6	83001	477423	1880
ne0029	Spain	Galdos	male	Prohibido	1884	first-person	male	high	1	1460	negative	-1	3	158503	904645	1880
ne0030	Spain	Valle	male	TiranoBanderas	1926	third-person	male	high	1	3	positive	1	9	48982	300569	1920
ne0031	Spain	Galdos	male	Miau	1888	third-person	male	low	-1	730	negative	-1	3	97211	556437	1880
ne0032	Spain	Galdos	male	Incognita	1889	second-person	male	medium	0	150	neutral	0	1	75158	425947	1880
ne0033	Spain	Valle	male	Corte	1927	third-person	male	high	1	60	negative	-1	2	75623	455184	1920
ne0035	Spain	Valle	male	Viva	1928	third-person	male	high	1	60	negative	-1	2	88213	532184	1920
ne0037	Spain	Valle	male	MediaNoche	1917	third-person	other	low	-1	1	negative	-1	2	11572	68386	1910
ne0039	Spain	Zamacois	male	Vagon	1921	third-person	other	medium	0	3650	positive	1	0.5	89121	533161	1920
ne0043	Spain	Miro	male	Nomada	1908	third-person	male	medium	0	3650	negative	-1	1	12852	76244	1900
ne0044	Spain	Miro	male	Amigo	1908	first-person	male	medium	0	10950	negative	-1	1	19866	114286	1900
ne0048	Spain	Miro	male	Cerezas	1910	third-person	male	medium	0	120	negative	-1	2	51562	304362	1910
ne0050	Spain	Miro	male	Zapatos	1912	third-person	female	medium	0	365	negative	-1	1	10991	64673	1910
ne0052	Spain	Miro	male	AbueloRey	1915	third-person	male	medium	0	3650	negative	-1	1	33435	195264	1910
ne0056	Spain	Miro	male	LibroSiguenza	1917	third-person	male	medium	0	7300	positive	1	1	43613	255530	1910
ne0059	Spain	Miro	male	SanDaniel	1921	third-person	male	medium	0	730	positive	1	1	62662	360228	1920
ne0061	Spain	Miro	male	ObispoLeproso	1926	third-person	male	medium	0	1825	neutral	0	1	73648	424868	1920
ne0063	Spain	Baroja	male	Busca	1904	third-person	male	low	-1	1825	negative	-1	1	62351	355499	1900
ne0064	Spain	Baroja	male	MalaHierba	1904	third-person	male	low	-1	150	neutral	0	2	67637	386220	1900
ne0065	Spain	Baroja	male	AuroraRoja	1904	third-person	male	medium	0	760	positive	1	2	64044	370347	1900
ne0066	Spain	Baroja	male	Zalacain	1904	third-person	male	medium	0	8760	negative	-1	2	43339	250299	1900
ne0067	Spain	Baroja	male	AventurasParadox	1901	third-person	male	low	-1	10950	neutral	0	2	73322	421173	1900
ne0068	Spain	Baroja	male	ArbolCiencia	1911	third-person	male	medium	0	1825	negative	-1	6	63017	363576	1910
ne0069	Spain	Unamuno	male	Abel	1917	third-person	male	medium	0	21900	negative	-1	3	29307	159793	1910
ne0072	Spain	Unamuno	male	TiaTula	1921	third-person	female	medium	0	2555	neutral	0	1	29059	157956	1920
ne0073	Spain	Unamuno	male	Niebla	1914	third-person	male	high	1	60	negative	-1	10	52369	290025	1910
ne0075	Spain	Bazan	female	Tribuna	1883	third-person	female	low	-1	1825	negative	-1	1	64108	375397	1880
ne0076	Spain	Bazan	female	Cisne	1884	third-person	male	low	-1	1095	negative	-1	1	52367	309292	1880
ne0077	Spain	Bazan	female	Pazos	1886	third-person	male	medium	0	4320	negative	-1	5	83782	491652	1880
ne0078	Spain	Bazan	female	Naturaleza	1887	third-person	male	medium	0	365	negative	-1	1	89710	517885	1880
ne0079	Spain	Bazan	female	Insolacion	1889	third-person	female	high	1	30	positive	1	1	42754	246756	1880
ne0082	Spain	Bazan	female	Piedra	1891	third-person	male	medium	0	365	negative	-1	1	51975	305707	1890
ne0084	Spain	Bazan	female	Quimera	1905	mixed	male	medium	0	1095	negative	-1	1	84403	502616	1900
ne0085	Spain	Bazan	female	Sirena	1908	first-person	male	medium	0	365	negative	-1	1	40369	235213	1900
ne0086	Spain	Bazan	female	Dulce	1911	third-person	female	medium	0	760	positive	1	1	66442	392375	1910
ne0087	Spain	Bazan	female	Novios	1881	third-person	female	medium	0	30	negative	-1	1	67306	395138	1880
ne0109	Spain	Baroja	male	Aizgorri	1900	second-person	female	high	1	365	positive	1	1	22852	136218	1900
ne0111	Spain	Baroja	male	Ansi	1912	first-person	female	high	1	3650	negative	-1	2	45068	259117	1910
ne0112	Spain	Baroja	male	Aprendiz	1912	first-person	male	medium	0	3650	neutral	0	0.5	48182	281349	1910
ne0113	Spain	Carrere	male	Jorobados	1920	third-person	male	medium	0	7	positive	1	0.5	50688	301882	1920
ne0116	Spain	Baroja	male	camino	1902	first-person	male	medium	0	1460	positive	1	3	60400	347503	1900
ne0120	Spain	RdCastro	female	Loco	1881	third-person	male	high	1	300	negative	-1	0.5	30617	176487	1880
ne0121	Spain	Azorin	male	Voluntad	1902	third-person	male	medium	0	4015	negative	-1	3	53825	320975	1900
ne0122	Spain	Azorin	male	Azorin	1903	third-person	male	medium	0	365	neutral	0	2	46212	266174	1900
ne0123	Spain	Azorin	male	Filosofo	1904	first-person	male	medium	0	365	neutral	0	1	16316	93947	1900
ne0127	Spain	RamonJimenez	male	Platero	1917	first-person	male	medium	0	180	negative	-1	7	31203	174028	1910
ne0130	Spain	Ganivet	male	Maya	1897	first-person	male	medium	0	7300	neutral	0	2	91974	541917	1890
ne0134	Spain	Ganivet	male	Trabajos	1897	third-person	male	medium	0	150	neutral	0	3	158492	872756	1890
ne0135	Spain	Clarin	male	Hijo	1891	third-person	male	medium	0	365	positive	1	3	89370	514037	1890
ne0141	Spain	WFFlorez	male	Volvoreta	1917	third-person	female	medium	0	365	neutral	0	1	51507	300828	1910
ne0144	Spain	Pereda	male	Pedro	1883	first-person	male	medium	0	10080	negative	-1	5	110075	628043	1880
ne0145	Spain	Pereda	male	Penas	1895	first-person	male	high	1	365	positive	1	4	134680	750331	1890
ne0146	Spain	Pereda	male	Sotileza	1885	first-person	female	medium	0	1825	neutral	0	4	114210	637259	1880
ne0148	Spain	AEspina	male	Luna	1929	third-person	female	medium	0	90	negative	-1	0.5	15657	94174	1920
ne0151	Spain	Valera	male	Genio	1897	first-person	female	high	1	10950	negative	-1	2	53063	302151	1890
ne0152	Spain	Valera	male	Juanita	1896	first-person	female	low	-1	365	positive	1	3	72353	405081	1890
ne0153	Spain	Valera	male	Morsamor	1899	third-person	male	medium	0	365	positive	1	2	83523	485032	1890
ne0155	Spain	Picon	male	Dulce	1891	third-person	male	high	1	1800	positive	1	1	84424	490528	1890
ne0157	Spain	Coloma	male	Pequeneces	1891	third-person	female	high	1	365	negative	-1	5	140056	831509	1890
ne0159	Spain	Trigo	male	Jarrapellejos	1914	third-person	male	medium	0	365	negative	-1	1	110064	645334	1910
ne0163	Spain	BlascoIbanez	male	Arroz	1894	third-person	female	medium	0	3600	negative	-1	1	91009	536896	1890
ne0164	Spain	BlascoIbanez	male	Barraca	1898	third-person	male	low	-1	90	negative	-1	1	52803	310388	1890
ne0166	Spain	BlascoIbanez	male	Reina	1923	third-person	female	high	1	90	negative	-1	0.5	68868	411621	1920
ne0167	Spain	Serna	male	Hotel	1922	third-person	male	high	1	90	negative	-1	0.5	49490	280823	1920
ne0170	Spain	Clarin	male	Cuesta	1891	first-person	male	medium	0	365	positive	1	1	18446	104723	1890
ne0175	Spain	Alarcon	male	Bola	1880	third-person	male	medium	0	11680	negative	-1	4	74159	430656	1880
ne0176	Spain	Alarcon	male	Prodiga	1882	third-person	male	medium	0	730	negative	-1	3	62839	368846	1880
ne0180	Spain	Azana	male	Jardín	1927	first-person	male	medium	0	1095	neutral	0	2	36211	217339	1920
ne0183	Spain	Pereda	male	Montalvez	1888	third-person	female	high	1	7300	negative	-1	4	106158	600278	1880
ne0184	Spain	RamonJimenez	male	DiarioPoeta	1916	first-person	male	medium	0	180	neutral	0	8	27722	157890	1910
ne0185	Spain	RPAyala	male	Tinieblas	1907	third-person	male	medium	0	2	negative	-1	2	70180	420465	1900
ne0186	Spain	RPAyala	male	AMDG	1910	third-person	male	low	-1	1095	positive	1	1	55273	330253	1910
ne0187	Spain	RPAyala	male	Belarmino	1921	first-person	male	medium	0	10950	neutral	0	2	66759	394503	1920
ne0191	Spain	Costa	male	Paganismo	1917	third-person	male	high	1	365	negative	-1	2	123486	738926	1910
ne0192	Spain	Lanza	male	Artuna	1893	third-person	male	medium	0	730	negative	-1	1	89496	513369	1890
ne0193	Spain	Lanza	male	Santiago	1907	first-person	male	high	1	9125	negative	-1	1	35486	204516	1900
ne0195	Spain	CEspina	female	Esfinge	1914	third-person	female	low	-1	365	negative	-1	1	88033	524346	1910
ne0196	Spain	CEspina	female	Metal	1920	third-person	female	low	-1	365	neutral	0	1	95093	563746	1920
ne0197	Spain	CEspina	female	Altar	1926	third-person	male	high	1	365	negative	-1	1	71436	423291	1920
ne0208	Spain	Valdes	male	Aldea	1903	third-person	male	low	-1	360	negative	-1	0.5	90825	519294	1900
ne0209	Spain	Valdes	male	Marta	1883	third-person	female	medium	0	365	positive	1	1	89623	522386	1880
ne0210	Spain	Valdes	male	Jose	1885	third-person	male	low	-1	360	positive	1	2	43051	246429	1880
ne0212	Spain	Valdes	male	Papeles	1911	first-person	male	medium	0	10950	negative	-1	0.5	91800	537044	1910
ne0218	Spain	Dario	male	VidaDario	1912	first-person	male	medium	0	16425	positive	1	0.5	39063	229155	1910
ne0224	Spain	Baroja	male	Paradoxrey	1906	second-person	male	medium	0	1095	negative	-1	1	32722	203050	1900
ne0227	Spain	Trigo	male	Medico	1912	third-person	male	medium	0	365	negative	-1	0.5	89394	527685	1910
ne0230	Spain	Valdes	male	Maximinia	1887	third-person	male	medium	0	1825	negative	-1	0.5	101859	589172	1880
ne0231	Spain	Valdes	male	Riverita	1886	third-person	male	medium	0	6570	positive	1	0.5	99437	576450	1880
ne0232	Spain	Baroja	male	Alzate	1922	second-person	male	medium	0	365	negative	-1	1	32270	197104	1920
ne0233	Spain	Baroja	male	Pilotos	1929	first-person	male	medium	0	3650	neutral	0	1	61847	354495	1920
ne0237	Spain	Baroja	male	Estrella	1930	first-person	male	medium	0	3650	positive	1	1	61311	349056	1930
ne0238	Spain	Baroja	male	Feria	1905	third-person	male	medium	0	3285	negative	-1	1	79102	452691	1900
ne0239	Spain	Baroja	male	Romanticos	1906	third-person	male	medium	0	730	negative	-1	1	56082	322539	1900
ne0241	Spain	Baroja	male	Cesar	1910	third-person	male	high	1	1825	negative	-1	2	90048	520240	1910
ne0242	Spain	Baroja	male	Sensualidad	1920	first-person	male	medium	0	7300	negative	-1	1	77069	433474	1920
ne0243	Spain	Baroja	male	Escuadron	1913	first-person	male	medium	0	365	neutral	0	0.5	69080	404066	1910
ne0250	Spain	Galdos	male	Razon	1915	second-person	female	medium	0	90	positive	1	1	28956	182333	1910
ne0251	Spain	Galdos	male	Encantado	1909	third-person	male	high	1	150	positive	1	2	88378	506442	1900
ne0252	Spain	BlascoIbanez	male	Flor	1895	third-person	male	low	-1	90	negative	-1	1	54699	318521	1890
ne0253	Spain	BlascoIbanez	male	Naranjos	1900	third-person	male	medium	0	3650	negative	-1	1	81718	480513	1900
ne0254	Spain	BlascoIbanez	male	Sonnica	1901	third-person	male	low	-1	365	negative	-1	1	85529	506180	1900
ne0255	Spain	BlascoIbanez	male	Canas	1902	third-person	male	medium	0	1095	negative	-1	1	75015	437082	1900
ne0256	Spain	BlascoIbanez	male	Catedral	1903	third-person	male	medium	0	365	negative	-1	1	98113	574118	1900
ne0257	Spain	BlascoIbanez	male	Intruso	1904	third-person	male	medium	0	365	neutral	0	1	96645	567711	1900
ne0258	Spain	BlascoIbanez	male	Horda	1905	third-person	male	low	-1	365	positive	1	1	101278	596289	1900
ne0274	Spain	Galdos	male	Realidad	1889	second-person	male	medium	0	11	negative	-1	2	75651	452379	1880
ne0275	Spain	Galdos	male	LocaCasa	1892	second-person	male	medium	0	365	positive	1	2	36237	232923	1890
ne0276	Spain	Galdos	male	Abuelo	1897	second-person	male	low	-1	365	negative	-1	2	66833	408173	1890
ne0287	Spain	Lanza	male	Marques	1889	first-person	male	medium	0	3650	negative	-1	0.5	18825	112502	1880
ne0291	Spain	Azorin	male	Tomas	1915	third-person	male	medium	0	9125	neutral	0	2	14389	82228	1910
ne0294	Spain	Pereda	male	PaloAstilla	1880	third-person	female	medium	0	365	negative	-1	1	85887	484836	1880
ne0295	Spain	Pereda	male	Tierruca	1882	third-person	male	high	1	365	positive	1	1	81676	455918	1880
ne0296	Spain	Pereda	male	Puchera	1889	third-person	female	medium	0	365	positive	1	1	125793	690703	1880
ne0301	Spain	Serna	male	Torero	1926	third-person	male	medium	0	10950	negative	-1	0.5	46365	265403	1920
ne0302	Spain	Baroja	male	DamaErrante	1908	third-person	female	medium	0	365	neutral	0	1	46781	267540	1900
ne0303	Spain	Baroja	male	CiudadNiebla	1909	mixed	female	low	-1	365	negative	-1	1	59501	344827	1900
ne0304	Spain	Baroja	male	Shanti	1911	first-person	male	medium	0	21900	positive	1	1	84736	485750	1910
ne0305	Spain	Baroja	male	Laberinto	1923	first-person	male	medium	0	1095	negative	-1	1	69811	403553	1920
ne0306	Spain	Valdes	male	CapitanRibot	1899	first-person	male	medium	0	1095	positive	1	0.5	57979	338454	1890
ne0307	Spain	Valdes	male	Senorito	1881	third-person	male	medium	0	365	negative	-1	0.5	65946	378203	1880
ne0308	Spain	Valdes	male	Idilio	1884	first-person	male	high	1	365	negative	-1	0.5	49110	284605	1880
ne0309	Spain	Valdes	male	Pensamiento	1893	third-person	male	medium	0	120	negative	-1	0.5	75469	446986	1890
ne0310	Spain	Valdes	male	Hermana	1899	first-person	male	medium	0	90	positive	1	0.5	117165	676261	1890
ne0311	Spain	Valdes	male	MajosCadiz	1896	third-person	male	medium	0	365	negative	-1	0.5	59077	341592	1890
ne0312	Spain	Valdes	male	Espuma	1890	third-person	female	high	1	365	negative	-1	0.5	124829	732440	1890
ne0313	Spain	Valdes	male	Fe	1892	third-person	male	medium	0	365	negative	-1	0.5	87879	512505	1890
ne0314	Spain	Valdes	male	Maestrante	1893	third-person	female	high	1	365	negative	-1	0.5	88715	518965	1890
ne0321	Spain	Galdos	male	Fortunata1	1886	third-person	male	high	1	730	negative	-1	9	105964	605168	1880
ne0322	Spain	Galdos	male	Fortunata2	1886	third-person	male	high	1	730	negative	-1	9	100739	569900	1880
ne0323	Spain	Galdos	male	Fortunata3	1886	third-person	male	high	1	730	negative	-1	9	89072	503690	1880
ne0324	Spain	Galdos	male	Fortunata4	1887	third-person	male	high	1	730	negative	-1	9	99410	556749	1880
ne0325	Spain	Clarin	male	Regenta1	1885	third-person	female	high	1	3	negative	-1	16	141497	818483	1880
ne0326	Spain	Clarin	male	Regenta2	1885	third-person	female	high	1	820	negative	-1	16	162617	935933	1880
ne0331	Spain	Francisco Ayala	male	HombreEspiritu	1925	third-person	male	medium	0	365	negative	-1	0.5	57787	340373	1920
ne0333	Spain	Francisco Ayala	male	Cazador	1930	third-person	male	medium	0	365	positive	1	0.5	8288	51028	1930
ne0334	Spain	Francisco Ayala	male	Erika	1930	third-person	female	medium	0	365	negative	-1	1	3786	22439	1930
ne0335	Spain	Francisco Ayala	male	Amanecer	1916	third-person	male	low	-1	365	negative	-1	0.5	32157	191914	1910
ne0345	Spain	WFFlorez	male	RelatoInmoral	1925	first-person	male	medium	0	365	negative	-1	0.5	43242	256828	1920
ne0346	Spain	WFFlorez	male	Ladron	1929	third-person	male	medium	0	365	negative	-1	1	19580	117254	1920
ne0347	Spain	WFFlorez	male	Silencio	1918	third-person	male	high	1	365	negative	-1	0.5	19641	117128	1910
